doc_id,topic_id,topic_label
A0068718_00316.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00806.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00056.xml,22,tid_års_tiden_utom_anseende
A0068718_00434.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00958.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00865.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_01245.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00328.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00059.xml,8,sidan_ena_handlingarne_sak_saken
A0068718_00575.xml,12,häradshöfdingen_hofrätten_riddaren_mål_närwarande
A0068718_00258.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00455.xml,8,sidan_ena_handlingarne_sak_saken
A0068718_00901.xml,44,fru_förmyndare_testamente_barn_arf
A0068718_00111.xml,44,fru_förmyndare_testamente_barn_arf
A0068718_00092.xml,3,beswär_wite_deröfwer_hofrätten_förklara
A0068718_00397.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00565.xml,3,beswär_wite_deröfwer_hofrätten_förklara
A0068718_01190.xml,25,hofrätten_rådstufwu_pröfwar_följe_anseende
A0068718_00054.xml,25,hofrätten_rådstufwu_pröfwar_följe_anseende
A0068718_01149.xml,22,tid_års_tiden_utom_anseende
A0068718_00693.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_01331.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00414.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00990.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_01208.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00611.xml,22,tid_års_tiden_utom_anseende
A0068718_00822.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00132.xml,35,ränta_fordran_räkning_betalning_skuld
A0068718_00799.xml,25,hofrätten_rådstufwu_pröfwar_följe_anseende
A0068718_01124.xml,3,beswär_wite_deröfwer_hofrätten_förklara
A0068718_00775.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00576.xml,8,sidan_ena_handlingarne_sak_saken
A0068718_01064.xml,3,beswär_wite_deröfwer_hofrätten_förklara
A0068718_00177.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00625.xml,25,hofrätten_rådstufwu_pröfwar_följe_anseende
A0068718_00745.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00433.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00828.xml,44,fru_förmyndare_testamente_barn_arf
A0068718_00858.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_01288.xml,33,hofrätten_saken_parterne_afträdde_ansökning
A0068718_00696.xml,33,hofrätten_saken_parterne_afträdde_ansökning
